Benchmark                                                       Time             CPU   Iterations
BM_Scapegoat_AlphaTuning_60/512/threads:8                  704122 ns      5627158 ns            8
BM_Scapegoat_AlphaTuning_60/4096/threads:8               31749003 ns    253872205 ns            8
BM_Scapegoat_AlphaTuning_60/8192/threads:8              121962369 ns    975683906 ns            8
BM_Scapegoat_AlphaTuning_70/8/threads:8                       624 ns         4989 ns         1056
BM_Scapegoat_AlphaTuning_70/64/threads:8                    21315 ns       170512 ns           40
BM_Scapegoat_AlphaTuning_70/512/threads:8                  655666 ns      5242371 ns            8
BM_Scapegoat_AlphaTuning_70/4096/threads:8               32074676 ns    256588575 ns            8
BM_Scapegoat_AlphaTuning_70/8192/threads:8              122168585 ns    977328932 ns            8
BM_Scapegoat_AlphaTuning_80/8/threads:8                      87.7 ns          700 ns         8632
BM_Scapegoat_AlphaTuning_80/64/threads:8                    18366 ns       146921 ns           48
BM_Scapegoat_AlphaTuning_80/512/threads:8                  703455 ns      5612481 ns            8
BM_Scapegoat_AlphaTuning_80/4096/threads:8               31975840 ns    255746857 ns            8
BM_Scapegoat_AlphaTuning_80/8192/threads:8              121834388 ns    974656724 ns            8
BM_Scapegoat_AlphaTuning_90/8/threads:8                      90.4 ns          723 ns         8440
BM_Scapegoat_AlphaTuning_90/64/threads:8                    13419 ns       107349 ns           56
BM_Scapegoat_AlphaTuning_90/512/threads:8                  732808 ns      5862491 ns            8
BM_Scapegoat_AlphaTuning_90/4096/threads:8               31902559 ns    255210177 ns            8
BM_Scapegoat_AlphaTuning_90/8192/threads:8              121799875 ns    973242843 ns            8
BM_AVL_WorstCase/8/threads:8                                 59.3 ns          476 ns        13616
BM_AVL_WorstCase/64/threads:8                                 850 ns         6802 ns          992
BM_AVL_WorstCase/512/threads:8                               8781 ns        70254 ns           96
BM_AVL_WorstCase/4096/threads:8                             95474 ns       763800 ns            8
BM_AVL_WorstCase/8192/threads:8                            185914 ns      1484748 ns            8
BM_Scapegoat_WorstCase/8/threads:8                            650 ns         5180 ns         1344
BM_Scapegoat_WorstCase/64/threads:8                         21783 ns       174257 ns           32
BM_Scapegoat_WorstCase/512/threads:8                       675327 ns      5395817 ns            8
BM_Scapegoat_WorstCase/4096/threads:8                    31698415 ns    253577757 ns            8
BM_Scapegoat_WorstCase/8192/threads:8                   120225743 ns    961781652 ns            8
BM_AVL_LargeDataset/1024/threads:8                          0.027 ms        0.219 ms           24
BM_AVL_LargeDataset/4096/threads:8                          0.106 ms        0.847 ms            8
BM_AVL_LargeDataset/16384/threads:8                         0.541 ms         4.33 ms            8
BM_Scapegoat_LargeDataset/1024/threads:8                     2.59 ms         20.7 ms            8
BM_Scapegoat_LargeDataset/4096/threads:8                     31.9 ms          255 ms            8
BM_Scapegoat_LargeDataset/16384/threads:8                     478 ms         3826 ms            8
